emer_season,emer_har,seed_stage,total_length,avg_temp,max_temp,min_temp,temp_range,total_precip,precip_airport_meteo,precip_airport,wet_day_freq,drought_days,hum,sunlight,NDVI_veg,NDVI_repro,NDVI_ripe,EVI_veg,EVI_repro,EVI_ripe,SAVI_veg,SAVI_repro,SAVI_ripe,yield
SON,129,19,148,22.43,30.68,18.13,12.55,559.1000147,913.35,1064.4,53,7,78.49647412,27427.85,0.470118888,0.867409591,0.76447105,0.358643296,0.670945358,0.509834427,0.305421161,0.576404903,0.483255982,10770.75269
JJA,140,11,151,22.87,32.23,17,15.23,683.1999969,762.3,721.2,50,9,77.4356955,27754.18,0.563894996,0.895032836,0.642172224,0.3894988,0.744302663,0.466005669,0.354767036,0.651262474,0.448899079,9255.555556
JJA,140,4,144,23.09,32.23,17.64,14.59,586.4999967,701.35,648.4,52,8,77.91502605,28917.09,0.439259478,0.824071149,0.66131954,0.280936035,0.677764266,0.518933443,0.258629441,0.594569938,0.46685354,8740.425532
JJA,137,20,157,23.26,31.59,17.71,13.88,644.2000049,716.5,720.4,53,9,75.68797704,29990.12,0.597961627,0.81375832,0.583033865,0.394379334,0.631357728,0.371640548,0.367992452,0.544496059,0.368353484,7999.152542
JJA,138,22,160,22.95,31.59,17.71,13.88,651.800005,929.6,1034.9,54,6,72.06125609,31128.24,0.578918713,0.715914796,0.500863859,0.402042349,0.536948,0.316855716,0.369957993,0.483480116,0.323450062,7316.25
DJF,132,17,149,22.22,30.68,17,13.68,502.0000041,912.65,1182.1,49,8,78.3036617,32108.85,0.399432044,0.777057265,0.67306,0.293685551,0.590094551,0.56368,0.266283198,0.533898373,0.59134,8302.564103
DJF,129,16,145,22.53,30.45,18.35,12.1,455.999993,712.55,874.7,53,9,73.73484839,32153.83,0.533481699,0.833471,0.795135985,0.318627483,0.593828176,0.506937992,0.308303951,0.51934,0.531940391,8686.734694
SON,133,17,150,22.43,30.68,18.13,12.55,603.1000137,913.35,1064.4,44,8,68.82183883,33504.26,0.500477398,0.903341353,0.725318206,0.387201144,0.765276761,0.621609229,0.348969577,0.672368505,0.568551069,8231.333333
DJF,125,17,142,22.22,30.68,17.83,12.85,486.1000043,912.65,1182.1,43,22,62.32147675,38101.4,0.645454853,0.858818212,0.764795276,0.465741676,0.702531188,0.656554053,0.423495361,0.612678226,0.573339904,9276.623377
DJF,125,19,144,22.22,30.68,17,13.68,495.0000039,912.65,1182.1,59,23,64.5226754,44814.12,0.308778589,0.828461383,0.801628231,0.259883721,0.724107665,0.647988474,0.235723223,0.621445941,0.586617504,11141.58416
